comparison	kegg_pathway	ko_id	significant_compounds	pathway_compounds	significant_compounds_total	compounds_total	metabolite_index_list	kegg_compound_list	kegg_url
KP_vs_Con	Tryptophan metabolism	ko00380	6	13	185	562	MEDN0019;MEDN0208;MEDN0337;MEDN0656;MEDP0453;MEDP1127	C00078+C01598+C05642+C00637+C00463+C00637	https:\\www.genome.jp\dbget-bin\www_bget?map00380
KP_vs_Con	Phenylalanine, tyrosine and tryptophan biosynthesis	ko00400	2	6	185	562	MEDN0019;MEDP0453	C00078+C00463	https:\\www.genome.jp\dbget-bin\www_bget?map00400
KP_vs_Con	Serotonergic synapse	ko04726	1	6	185	562	MEDN0019	C00078	https:\\www.genome.jp\dbget-bin\www_bget?map04726
KP_vs_Con	African trypanosomiasis	ko05143	1	1	185	562	MEDN0019	C00078	https:\\www.genome.jp\dbget-bin\www_bget?map05143
KP_vs_Con	Purine metabolism	ko00230	4	10	185	562	MEDN0046;MEDN0163;MEDN2326;MEDP1949	C00064+C00262+C11821+C03373	https:\\www.genome.jp\dbget-bin\www_bget?map00230
KP_vs_Con	Pyrimidine metabolism	ko00240	5	15	185	562	MEDN0046;MEDN0147;MEDN0335;MEDN0434;MEDN0841	C00064+C02376+C02170+C02067+C02642	https:\\www.genome.jp\dbget-bin\www_bget?map00240
KP_vs_Con	Vitamin B6 metabolism	ko00750	1	2	185	562	MEDN0046	C00064	https:\\www.genome.jp\dbget-bin\www_bget?map00750
KP_vs_Con	Nitrogen metabolism	ko00910	1	1	185	562	MEDN0046	C00064	https:\\www.genome.jp\dbget-bin\www_bget?map00910
KP_vs_Con	Nucleotide metabolism	ko01232	2	10	185	562	MEDN0046;MEDN0163	C00064+C00262	https:\\www.genome.jp\dbget-bin\www_bget?map01232
KP_vs_Con	Glutamatergic synapse	ko04724	1	2	185	562	MEDN0046	C00064	https:\\www.genome.jp\dbget-bin\www_bget?map04724
KP_vs_Con	GABAergic synapse	ko04727	1	4	185	562	MEDN0046	C00064	https:\\www.genome.jp\dbget-bin\www_bget?map04727
KP_vs_Con	Proximal tubule bicarbonate reclamation	ko04964	2	2	185	562	MEDN0046;MEDN0704	C00064+C00036	https:\\www.genome.jp\dbget-bin\www_bget?map04964
KP_vs_Con	Chemical carcinogenesis - reactive oxygen species	ko05208	2	2	185	562	MEDN0068;MEDP1280	C00021+C00019	https:\\www.genome.jp\dbget-bin\www_bget?map05208
KP_vs_Con	Circadian entrainment	ko04713	1	2	185	562	MEDN0208	C01598	https:\\www.genome.jp\dbget-bin\www_bget?map04713
KP_vs_Con	Pentose and glucuronate interconversions	ko00040	2	7	185	562	MEDN0237;MEDN1532	C00191+C00333	https:\\www.genome.jp\dbget-bin\www_bget?map00040
KP_vs_Con	Ascorbate and aldarate metabolism	ko00053	3	6	185	562	MEDN0237;MEDN0835;MEDN1532	C00191+C02670+C00333	https:\\www.genome.jp\dbget-bin\www_bget?map00053
KP_vs_Con	Inositol phosphate metabolism	ko00562	1	1	185	562	MEDN0237	C00191	https:\\www.genome.jp\dbget-bin\www_bget?map00562
KP_vs_Con	Primary bile acid biosynthesis	ko00120	1	7	185	562	MEDN0280	C00245	https:\\www.genome.jp\dbget-bin\www_bget?map00120
KP_vs_Con	Taurine and hypotaurine metabolism	ko00430	1	7	185	562	MEDN0280	C00245	https:\\www.genome.jp\dbget-bin\www_bget?map00430
KP_vs_Con	Propanoate metabolism	ko00640	1	5	185	562	MEDN0335	C02170	https:\\www.genome.jp\dbget-bin\www_bget?map00640
KP_vs_Con	Porphyrin metabolism	ko00860	2	7	185	562	MEDN0622;MEDP1949	C00931+C03373	https:\\www.genome.jp\dbget-bin\www_bget?map00860
KP_vs_Con	Glycolysis / Gluconeogenesis	ko00010	1	3	185	562	MEDN0704	C00036	https:\\www.genome.jp\dbget-bin\www_bget?map00010
KP_vs_Con	Citrate cycle (TCA cycle)	ko00020	1	5	185	562	MEDN0704	C00036	https:\\www.genome.jp\dbget-bin\www_bget?map00020
