protein_group	protein_names	genes	description	Con1	Con2	Con3	Con4	Con5	Con6	Con7	Con8	Con9	Con10	Con11	Con12	Con13	Con14	Con15	KP1	KP2	KP3	KP4	KP5	KP6	KP7	KP8	KP9	KP10	KP11	KP12	KP13	KP14	KP15	CRKP1	CRKP2	CRKP3	CRKP4	CRKP5	CRKP6	CRKP7	CRKP8	CRKP9	CRKP10	CRKP11	CRKP12	CRKP13	CRKP14	CRKP15	QC_pool1	QC_pool2	QC_pool3
P08590	MYL3_HUMAN	MYL3	Myosin light chain 3					4694.63														878.255	10484.1	2298.39			2283.97					4679.98	2528.11	12989.6		11848.8	3903.88	4713.63	4558.13				15209.6						5368.03	4593.61	4505.26
P08603	CFAH_HUMAN	CFH	Complement factor H	2347850.0	2423760.0	3479420.0	2381060.0	2786280.0	3414990.0	5515530.0	4297850.0	3716540.0	4603080.0	4136960.0	4866560.0	4210320.0	3023590.0	4401740.0	4889460.0	3324900.0	3507990.0	3946560.0	3268760.0	3673850.0	4461700.0	3107780.0	3103620.0	2640760.0	1937750.0	1763720.0	4289900.0	3800520.0	1574540.0	3136020.0	3521920.0	3364430.0	3454510.0	4113470.0	4182170.0	2581020.0	2622080.0	2726250.0	2278210.0	2431340.0	2934750.0	3289150.0	3016610.0	2924960.0	2662390.0	2670570.0	2626590.0
P08637	FCG3A_HUMAN	FCGR3A	Low affinity immunoglobulin gamma Fc region receptor III-A	74487.4	74603.5	76642.3	64225.0	52190.9	97039.0	126435.0	67315.4	95768.5	69374.1	78503.2	129823.0	140427.0	54235.3	102462.0	102413.0	63842.7	66650.6	86136.7	189155.0	215270.0	147941.0	94058.8	161535.0	262925.0	65349.9	204549.0	72412.8	129881.0	107534.0	116710.0	103093.0	101237.0	88900.6	112275.0	116548.0	121590.0	270395.0	137505.0	53806.3	246677.0	132987.0	93296.3	135102.0	157021.0	118411.0	121496.0	126574.0
P08670	VIME_HUMAN	VIM	Vimentin	42594.1	51847.0	29137.1	34675.9	17455.3	23806.5	23693.4	28061.9	21181.5	29714.1	16359.2	11890.2	6580.84	4868.89	12860.2	16188.4	11131.8	13009.0	24003.4	13438.4	3331.61	11056.3	22893.1	23873.6	29606.6	15920.8	17840.6	5852.26	10183.5	27526.9	31161.7	6785.62	10600.2	66196.6	11639.5	9331.83	14363.1	9917.36	41188.5	16093.4	11106.6	16999.9	8096.22	18610.4	19123.4	17635.8	15887.9	17892.9
P08697	A2AP_HUMAN	SERPINF2	Alpha-2-antiplasmin	1885240.0	1994090.0	1814900.0	1974710.0	1501380.0	2453720.0	1629610.0	1385770.0	1753870.0	1645480.0	1784570.0	1438040.0	1790760.0	1476040.0	1508800.0	1945460.0	2039610.0	2396420.0	1277920.0	1878170.0	2939200.0	2203300.0	1645620.0	1786070.0	1685660.0	1464050.0	2252540.0	1940990.0	2828880.0	1138720.0	1660250.0	2941350.0	2521470.0	2201320.0	2693900.0	2703660.0	1392680.0	2228980.0	1901100.0	1769560.0	2136440.0	1188440.0	2909920.0	1102420.0	1091080.0	1537080.0	1626600.0	1527970.0
P08709	FA7_HUMAN	F7	Coagulation factor VII	623870.0	629808.0	382004.0	642944.0	403560.0	516500.0	500924.0	214089.0	334851.0	284800.0	564585.0	556413.0	341595.0	263040.0	517966.0	357101.0	508332.0	507054.0	407574.0	231419.0	276877.0	249672.0	276015.0	382015.0	235863.0	446767.0	220480.0	389564.0	245407.0	288649.0	340796.0	352027.0	296450.0	168208.0	417469.0	508061.0	375648.0	330725.0	285012.0	264333.0	340557.0	282685.0	374801.0	341293.0	332031.0	282487.0	319454.0	312717.0
P08758	ANXA5_HUMAN	ANXA5	Annexin A5	3646.67	6587.45	5445.22	10500.0	3664.89	8734.23		8542.04	7671.3				2279.86											3536.95		4942.77	5284.2			7959.01										2514.49		5655.98		4318.17	4826.32			
P08779	K1C16_HUMAN	KRT16	Keratin, type I cytoskeletal 16	112010.0	48100.0	139239.0	80083.9	113592.0	108998.0	73191.7	683572.0	219088.0	214058.0	366774.0	128839.0	82670.8	248476.0	42749.2	262299.0	112911.0	199557.0	131393.0	127518.0	30357.8	44771.0	21043.2	246442.0	99463.9	197299.0	30875.5	162218.0	120275.0	142603.0	206814.0	79266.3	320274.0	160098.0	115074.0	85682.6	162531.0	50573.0	117286.0	246826.0	124193.0	179334.0	92732.1	44844.0	171958.0	93585.2	89628.5	87690.7
P08833	IBP1_HUMAN	IGFBP1	Insulin-like growth factor-binding protein 1	468169.0	1032820.0	294234.0	998005.0	877724.0	104421.0	106437.0	334672.0	272302.0	99117.0	227395.0	162042.0	190890.0	29127.5	207128.0	115853.0	259043.0	253611.0	153237.0	128309.0	236387.0	42433.6	732985.0	842729.0	59727.2	878537.0	2033040.0	302478.0	276273.0	1153940.0	61229.8	846671.0	142655.0	543945.0	111665.0	110702.0	1100270.0	98220.7	1632460.0	46491.7	106739.0	550270.0	1153610.0	453364.0	669564.0	590731.0	696014.0	679774.0
P08861	CEL3B_HUMAN	CELA3B	Chymotrypsin-like elastase family member 3B			8320.33						4076.05	2697.72				10246.5	13313.7		13707.5	7784.34				19407.5			22277.3				2994.79	2070.36																		
P08865	RSSA_HUMAN	RPSA	Small ribosomal subunit protein uS2	6248.62	10438.0	13547.5	9423.98	7327.19	7789.25	8890.89	14378.6	11231.3	13785.4	6574.14		4066.17										4339.71			1918.14				4010.14												8113.89						
